Ball,Commentary,Wicket
0.1,"Mohammad Irfan to Babar Azam, no run, full and wide to start, Azam tries to lay into a square drive but misses.",
0.2,"Mohammad Irfan to Babar Azam, FOUR, ah shot! Overpitched from Irfan, Azam stays in his crease and drills a delectable drive through cover. Sublime timing",
0.3,"Mohammad Irfan to Babar Azam, no run, the length is slightly shorter outside off, Azam leans into a drive and finds cover",
0.4,"Mohammad Irfan to Babar Azam, FOUR, a swat through midwicket. Back of a length outside off, Azam stays tall, watches the ball onto his bat and then clatters a pull",
0.5,"Mohammad Irfan to Babar Azam, 1 run, nicely played. Gets a good length delivery and Azam allows the ball to come onto him before dabbing one to third man",
0.6,"Mohammad Irfan to Gayle, FOUR, edged for four. A full length from Irfan, Gayle gets half forward, rather tentative. Gets a thick outside edge which dies down, between slip and the keeper",
1.1,"Mohammad Sami to Babar Azam, no run, a length delivery outside off, Azam chops one back towards the keeper. Was looking to guide it to third man",
1.2,"Mohammad Sami to Babar Azam, no run, full and straight from Sami, Azam falls over a flick and is rapped on the pads. A big appeal is shot down. Sliding down",
1.3,"Mohammad Sami to Babar Azam, no run, dropped! Duckett drops a dolly. A length delivery outside off, Azam stays in his crease and chips a catch to cover, or what was supposed to be a catch. Duckett gets both his hands up but somehow lets it go through",
1.4,"Mohammad Sami to Babar Azam, FOUR, and that will be four. Back of a length on off, Azam pulls down to fine leg, past short fine leg",
1.5,"Mohammad Sami to Babar Azam, 1 run, worked away wristily past midwicket for a run",
1.6,"Mohammad Sami to Gayle, no run, left alone outside off",
2.1,"Mohammad Irfan to Babar Azam, no run, short of a length and outside off, punched gloriously off the backfoot but brilliant stop by Shadab Khan at point who flings himself to his left",
2.2,"Mohammad Irfan to Babar Azam, no run, tries to flick this one into the leg side. Length ball, misses and gets hit on the pad. But appeal turned down as it pitched outside leg",
2.3,"Mohammad Irfan to Babar Azam, 1 run, good length, angling away to the right-hander from leg and middle, tucked away to the leg side for an easy single",
2.4,"Mohammad Irfan to Gayle, 1 run, stays back to this length ball and inside edges it to the short fine leg fielder. Got a glove actually",
2.5,"Mohammad Irfan to Babar Azam, no run, short of good length, gets slightly big on him and he chops the punch to covers",
2.6,"Mohammad Irfan to Babar Azam, no run, length ball outside off, tries to get the front foot out of the way and flay it over the off side but does not get hold of it and the ball goes on the bounce to the fielder at mid-off",
3.1,"Rumman Raees to Gayle, 1 run, fuller ball on the pads, clipped off the toes to midwicket and they jog the single",
3.2,"Rumman Raees to Babar Azam, no run, comes down the pitch and looks to shovel this with a half-angled bat but it was an in between length and it goes to the right of the bowler on the bouncer as he does not get hold of the shot",
3.3,"Rumman Raees to Babar Azam, 1 run, that was down the leg side, would have been called a wide if he had mot made contact. Tries to whip it away and inside-edges it to the pad before the ball rolls away towards square leg",
3.4,"Rumman Raees to Gayle, 1 run, dipping yorker length ball, almost a yorker and Gayle squirts it off the inside edge behind square as the ball goes to fine leg. It was the back-of-the-hand slower one and Gayle did not pick the drop in pace",
3.5,"Rumman Raees to Babar Azam, 1 run, good length on middle stump line, tucked off the pads to deep midwicket",
3.6,"Rumman Raees to Gayle, 1 run, turns it into the leg side from outside off and they jog the single as the ball goes to midwicket",
4.1,"Mohammad Irfan to Gayle, no run, comes down the track but this one dips outside off and Gayle gets an under edge to the keeper that goes on the bounce",
